Domaine,Titre du Poste,Nom de l'Entreprise,Lieu,Compétences
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Software Engineer, Computational Photography, Pixel Camera",Google,"New Taipei, Banqiao District, New Taipei City, Taiwan","Bachelor’s degree or equivalent practical experience. / 2 years of experience with software development in one or more programming languages, and with data structures or algorithms. / 2 years of experience with machine learning algorithms and tools, artificial intelligence, deep learning and camera related domains, (e.g., computational photography)."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Product Quality Engineer, Google Cloud",Google,"Austin, TX, USA","Bachelor's degree in Mechanical Engineering, Industrial Engineering, Materials Engineering, or related engineering discipline, or equivalent practical experience. / 5 years of experience working in computing hardware quality, product engineering, or electronic hardware systems issue resolution. / Experience in data analysis and visualization using SQL, JMP, or Python. / Experience working with reliability and quality test data or manufacturing execution systems."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Quantum Measurement Engineer, Hardware",Google,"Goleta, CA, USA","Bachelor’s degree in Electrical Engineering, Computer Engineering, Physics, a related field, or equivalent practical experience. / 2 years of industry or academic research experience in an engineering or physics field. / 1 year of experience calibrating and operating quantum systems. / 1 year of experience programming in Python or a related programming language."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Design Verification Engineer, Security",Google,"Bengaluru, Karnataka, India","Bachelor's degree in Electrical Engineering, Computer Science, or a related field, or equivalent practical experience. / 3 years of experience in verifying IP or digital systems that include components like CPU, Direct Memory Access, interconnects, Memory Management Unit, peripherals and memories. / Experience creating and using verification components and environments in a standard verification methodology such as Universal Verification Methodology. / Experience with verification techniques, System Verilog Assertions (SVA) and assertion-based verification."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"ASIC Design Verification Engineer, Machine Learning, Early Career",Google,"Madison, WI, USA","Bachelor's degree in Electrical Engineering, Computer Engineering, a related field, or equivalent practical experience. / 1 year of experience coding in SystemVerilog through internships or work experience. / Experience verifying digital logic at the Register Transfer Level (RTL) using SystemVerilog for FPGAs, ASICs, or SOCs."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Senior Software Engineer, Engineering Productivity, Silicon",Google,"Bengaluru, Karnataka, India","Bachelor's degree or equivalent practical experience. / 5 years of experience with software development in C/C++, Python, SQL languages, and with data structures/algorithms. / 3 years of experience testing, maintaining, or launching software products, and 1 year of experience with software design and architecture. / 3 years of experience with performance, systems data analysis, visualization tools, or debugging."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Network Test Engineer, NetInfra",Google,"Sunnyvale, CA, USA","Bachelor’s degree in Computer Science, Electrical Engineering, a related field, or equivalent practical experience. / 2 years of experience with network equipment and network protocols testing and debugging. / Experience with test methodologies, writing test plans and creating test cases. / Experience in test automation using Python or C++."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Staff Software Engineer, Performance, Segment Optimized Computing",Google,"Sunnyvale, CA, USA","Bachelor's degree or equivalent practical experience. / 8 years of experience in software development, and with data structures/algorithms. / 5 years of experience with design and architecture; and testing/launching software products."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Software Engineer, Computational Videography and ML, Pixel Camera",Google,"New Taipei, Banqiao District, New Taipei City, Taiwan","Bachelor’s degree or equivalent practical experience. / 2 years of experience with software development in one or more programming languages, and with data structures or algorithms. / 2 years of experience with machine learning algorithms and tools, artificial intelligence, deep learning and camera related domains, (e.g., computational photography)."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Machine Learning Engineer, Large Language Models, Personal AI",Google,"Mountain View, CA, USA","Bachelor's degree or equivalent practical experience. / 8 years of experience in software development, with data structures or algorithms. / 8 years of experience in coding with one or more programming languages (e.g., c++ or python). / 5 years of experience in testing, and launching software products, and 3 years of experience with software design and architecture. / Experience in the domain area of generative AI, large language models, or machine learning. / Experience in the domain area of Generative AI, large language models, or machine learning."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Software Engineer, ISP IQ, Pixel Camera",Google,"New Taipei, Banqiao District, New Taipei City, Taiwan","Bachelor’s degree or equivalent practical experience. / 2 years of experience with software development in one or more programming languages (C++,Python)."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Software Engineer II, Camera 3A Performance",Google,"New Taipei, Banqiao District, New Taipei City, Taiwan","Bachelor’s degree or equivalent practical experience. / 1 year of experience with software development in C++ and Python, or more programming languages."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Hardware Engineering Intern, 2025",Google,"New Taipei, Banqiao District, New Taipei City, Taiwan / ; Taipei, Taiwan","Currently pursuing a Bachelor’s degree in Electrical Engineering, Computer Engineering, Computer Science or a related field. / Experience in one or more of the areas: Computer Architecture, Circuit Design/Simulation, Design Verification, Digital Design, Embedded Systems, Hardware/Software, Signal and Power Integrity, EMC, Statistics, System Modeling, Networking/Security, Test/Measurement or Verilog."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Staff Hardware Systems Design Engineer, Google Cloud",Intern & Apprentice,"Sunnyvale, CA, USA","Master's degree in Electrical Engineering, Computer Engineering, Physics, a related field, or equivalent practical experience. / 6 years of experience working in a hardware systems design, or 5 years of experience with an advanced degree. / 3 years of experience in technical leadership."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Hardware Design Engineer, PCB Design",Google,"Sunnyvale, CA, USA","Bachelor’s degree in Electrical Engineering, Computer Engineering, Physics, a related field, or equivalent practical experience. / 4 years of experience working in enterprise hardware systems design, or 3 years of experience with an advanced degree. / Experience in RTL development, simulation, and implementation for glue logic applications. / Experienced in electronics principles, circuit design, PCB design and layout. / Experience with FPGA/CPLD design flows using Lattice, Xilinx/AMD, or  Altera/Intel devices."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Hardware Design Engineer, Board and Systems, Google Cloud",Google,"Sunnyvale, CA, USA","Bachelor’s degree in Electrical Engineering, Computer Engineering, Physics, a related field, or equivalent practical experience. / 4 years of experience in enterprise hardware systems design, or 3 years of experience with an advanced degree. / Experience with hardware bring up, debug, system validation, and testing. / Experience with data center and enterprise hardware products."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Hardware Validation Engineer, Google Cloud",Google,"Sunnyvale, CA, USA","Bachelor’s degree in Electrical Engineering, Computer Engineering, Computer Science, Physics, or a specialized field (e.g., Optics, Sensors, Audio/DSP, etc.), or equivalent practical experience. / 2 years of experience working in a hardware engineering technical environment, or 1 year of experience with an advanced degree. / Experience with Linux, networking, network troubleshooting, failure diagnosis, data center server, debugging/troubleshooting."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Hardware Emulation Engineer, Google Cloud",Google,"Tel Aviv, Israel / ; Haifa, Israel","Bachelor's degree in Computer Science, Electrical Engineering, or equivalent practical experience. / Experience with emulation systems, maintenance, upgrades, and methodology enhancements. / Experience with associated Electronic Design Automation (EDA) tools, and the addition of automation and flow enhancements. / Experience in using command debug tools (e.g., Verdi, SimVision/Indago, GDB) and programming in C, C++, Perl, TCL, or Python."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Product Engineer, Global Manufacturing Engineering, Google Cloud",Google,"New Taipei, Banqiao District, New Taipei City, Taiwan",Bachelor's degree in Electrical/Electronics Engineering or equivalent practical experience. / 5 years of experience in manufacturing or product development.
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Staff Software Engineer, ML Hardware, YouTube Discovery",Google,"San Bruno, CA, USA","Bachelor's degree or equivalent practical experience. / 8 years of experience in software development, and with data structures/algorithms. / 5 years of experience with ML infrastructure (e.g., model deployment, model evaluation, optimization, debugging). / 3 years of experience in developing large-scale ML models (recommender systems, LLMs, computer vision, etc) utilizing ML hardware accelerators. / 2 years of experience in a technical leadership role. / Experience with post-training quantization, quantized aware training, or quantized training for ML models."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Software Engineer, Computational Photography, Pixel Camera",Google,"New Taipei, Banqiao District, New Taipei City, Taiwan","Bachelor’s degree or equivalent practical experience. / 2 years of experience with software development in one or more programming languages, and with data structures or algorithms. / 2 years of experience with machine learning algorithms and tools, artificial intelligence, deep learning and camera related domains, (e.g., computational photography)."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Product Quality Engineer, Google Cloud",Google,"Austin, TX, USA","Bachelor's degree in Mechanical Engineering, Industrial Engineering, Materials Engineering, or related engineering discipline, or equivalent practical experience. / 5 years of experience working in computing hardware quality, product engineering, or electronic hardware systems issue resolution. / Experience in data analysis and visualization using SQL, JMP, or Python. / Experience working with reliability and quality test data or manufacturing execution systems."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Quantum Measurement Engineer, Hardware",Google,"Goleta, CA, USA","Bachelor’s degree in Electrical Engineering, Computer Engineering, Physics, a related field, or equivalent practical experience. / 2 years of industry or academic research experience in an engineering or physics field. / 1 year of experience calibrating and operating quantum systems. / 1 year of experience programming in Python or a related programming language."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Design Verification Engineer, Security",Google,"Bengaluru, Karnataka, India","Bachelor's degree in Electrical Engineering, Computer Science, or a related field, or equivalent practical experience. / 3 years of experience in verifying IP or digital systems that include components like CPU, Direct Memory Access, interconnects, Memory Management Unit, peripherals and memories. / Experience creating and using verification components and environments in a standard verification methodology such as Universal Verification Methodology. / Experience with verification techniques, System Verilog Assertions (SVA) and assertion-based verification."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"ASIC Design Verification Engineer, Machine Learning, Early Career",Google,"Madison, WI, USA","Bachelor's degree in Electrical Engineering, Computer Engineering, a related field, or equivalent practical experience. / 1 year of experience coding in SystemVerilog through internships or work experience. / Experience verifying digital logic at the Register Transfer Level (RTL) using SystemVerilog for FPGAs, ASICs, or SOCs."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Senior Software Engineer, Engineering Productivity, Silicon",Google,"Bengaluru, Karnataka, India","Bachelor's degree or equivalent practical experience. / 5 years of experience with software development in C/C++, Python, SQL languages, and with data structures/algorithms. / 3 years of experience testing, maintaining, or launching software products, and 1 year of experience with software design and architecture. / 3 years of experience with performance, systems data analysis, visualization tools, or debugging."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Network Test Engineer, NetInfra",Google,"Sunnyvale, CA, USA","Bachelor’s degree in Computer Science, Electrical Engineering, a related field, or equivalent practical experience. / 2 years of experience with network equipment and network protocols testing and debugging. / Experience with test methodologies, writing test plans and creating test cases. / Experience in test automation using Python or C++."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Staff Software Engineer, Performance, Segment Optimized Computing",Google,"Sunnyvale, CA, USA","Bachelor's degree or equivalent practical experience. / 8 years of experience in software development, and with data structures/algorithms. / 5 years of experience with design and architecture; and testing/launching software products."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Software Engineer, Computational Videography and ML, Pixel Camera",Google,"New Taipei, Banqiao District, New Taipei City, Taiwan","Bachelor’s degree or equivalent practical experience. / 2 years of experience with software development in one or more programming languages, and with data structures or algorithms. / 2 years of experience with machine learning algorithms and tools, artificial intelligence, deep learning and camera related domains, (e.g., computational photography)."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Machine Learning Engineer, Large Language Models, Personal AI",Google,"Mountain View, CA, USA","Bachelor's degree or equivalent practical experience. / 8 years of experience in software development, with data structures or algorithms. / 8 years of experience in coding with one or more programming languages (e.g., c++ or python). / 5 years of experience in testing, and launching software products, and 3 years of experience with software design and architecture. / Experience in the domain area of generative AI, large language models, or machine learning. / Experience in the domain area of Generative AI, large language models, or machine learning."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Software Engineer, ISP IQ, Pixel Camera",Google,"New Taipei, Banqiao District, New Taipei City, Taiwan","Bachelor’s degree or equivalent practical experience. / 2 years of experience with software development in one or more programming languages (C++,Python)."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Software Engineer II, Camera 3A Performance",Google,"New Taipei, Banqiao District, New Taipei City, Taiwan","Bachelor’s degree or equivalent practical experience. / 1 year of experience with software development in C++ and Python, or more programming languages."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Hardware Engineering Intern, 2025",Google,"New Taipei, Banqiao District, New Taipei City, Taiwan / ; Taipei, Taiwan","Currently pursuing a Bachelor’s degree in Electrical Engineering, Computer Engineering, Computer Science or a related field. / Experience in one or more of the areas: Computer Architecture, Circuit Design/Simulation, Design Verification, Digital Design, Embedded Systems, Hardware/Software, Signal and Power Integrity, EMC, Statistics, System Modeling, Networking/Security, Test/Measurement or Verilog."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Staff Hardware Systems Design Engineer, Google Cloud",Intern & Apprentice,"Sunnyvale, CA, USA","Master's degree in Electrical Engineering, Computer Engineering, Physics, a related field, or equivalent practical experience. / 6 years of experience working in a hardware systems design, or 5 years of experience with an advanced degree. / 3 years of experience in technical leadership."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Hardware Design Engineer, PCB Design",Google,"Sunnyvale, CA, USA","Bachelor’s degree in Electrical Engineering, Computer Engineering, Physics, a related field, or equivalent practical experience. / 4 years of experience working in enterprise hardware systems design, or 3 years of experience with an advanced degree. / Experience in RTL development, simulation, and implementation for glue logic applications. / Experienced in electronics principles, circuit design, PCB design and layout. / Experience with FPGA/CPLD design flows using Lattice, Xilinx/AMD, or  Altera/Intel devices."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Hardware Design Engineer, Board and Systems, Google Cloud",Google,"Sunnyvale, CA, USA","Bachelor’s degree in Electrical Engineering, Computer Engineering, Physics, a related field, or equivalent practical experience. / 4 years of experience in enterprise hardware systems design, or 3 years of experience with an advanced degree. / Experience with hardware bring up, debug, system validation, and testing. / Experience with data center and enterprise hardware products."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Hardware Validation Engineer, Google Cloud",Google,"Sunnyvale, CA, USA","Bachelor’s degree in Electrical Engineering, Computer Engineering, Computer Science, Physics, or a specialized field (e.g., Optics, Sensors, Audio/DSP, etc.), or equivalent practical experience. / 2 years of experience working in a hardware engineering technical environment, or 1 year of experience with an advanced degree. / Experience with Linux, networking, network troubleshooting, failure diagnosis, data center server, debugging/troubleshooting."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Hardware Emulation Engineer, Google Cloud",Google,"Tel Aviv, Israel / ; Haifa, Israel","Bachelor's degree in Computer Science, Electrical Engineering, or equivalent practical experience. / Experience with emulation systems, maintenance, upgrades, and methodology enhancements. / Experience with associated Electronic Design Automation (EDA) tools, and the addition of automation and flow enhancements. / Experience in using command debug tools (e.g., Verdi, SimVision/Indago, GDB) and programming in C, C++, Perl, TCL, or Python."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Product Engineer, Global Manufacturing Engineering, Google Cloud",Google,"New Taipei, Banqiao District, New Taipei City, Taiwan",Bachelor's degree in Electrical/Electronics Engineering or equivalent practical experience. / 5 years of experience in manufacturing or product development.
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Staff Software Engineer, ML Hardware, YouTube Discovery",Google,"San Bruno, CA, USA","Bachelor's degree or equivalent practical experience. / 8 years of experience in software development, and with data structures/algorithms. / 5 years of experience with ML infrastructure (e.g., model deployment, model evaluation, optimization, debugging). / 3 years of experience in developing large-scale ML models (recommender systems, LLMs, computer vision, etc) utilizing ML hardware accelerators. / 2 years of experience in a technical leadership role. / Experience with post-training quantization, quantized aware training, or quantized training for ML models."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Software Engineer, Computational Photography, Pixel Camera",Google,"New Taipei, Banqiao District, New Taipei City, Taiwan","Bachelor’s degree or equivalent practical experience. / 2 years of experience with software development in one or more programming languages, and with data structures or algorithms. / 2 years of experience with machine learning algorithms and tools, artificial intelligence, deep learning and camera related domains, (e.g., computational photography)."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Product Quality Engineer, Google Cloud",Google,"Austin, TX, USA","Bachelor's degree in Mechanical Engineering, Industrial Engineering, Materials Engineering, or related engineering discipline, or equivalent practical experience. / 5 years of experience working in computing hardware quality, product engineering, or electronic hardware systems issue resolution. / Experience in data analysis and visualization using SQL, JMP, or Python. / Experience working with reliability and quality test data or manufacturing execution systems."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Quantum Measurement Engineer, Hardware",Google,"Goleta, CA, USA","Bachelor’s degree in Electrical Engineering, Computer Engineering, Physics, a related field, or equivalent practical experience. / 2 years of industry or academic research experience in an engineering or physics field. / 1 year of experience calibrating and operating quantum systems. / 1 year of experience programming in Python or a related programming language."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Design Verification Engineer, Security",Google,"Bengaluru, Karnataka, India","Bachelor's degree in Electrical Engineering, Computer Science, or a related field, or equivalent practical experience. / 3 years of experience in verifying IP or digital systems that include components like CPU, Direct Memory Access, interconnects, Memory Management Unit, peripherals and memories. / Experience creating and using verification components and environments in a standard verification methodology such as Universal Verification Methodology. / Experience with verification techniques, System Verilog Assertions (SVA) and assertion-based verification."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"ASIC Design Verification Engineer, Machine Learning, Early Career",Google,"Madison, WI, USA","Bachelor's degree in Electrical Engineering, Computer Engineering, a related field, or equivalent practical experience. / 1 year of experience coding in SystemVerilog through internships or work experience. / Experience verifying digital logic at the Register Transfer Level (RTL) using SystemVerilog for FPGAs, ASICs, or SOCs."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Senior Software Engineer, Engineering Productivity, Silicon",Google,"Bengaluru, Karnataka, India","Bachelor's degree or equivalent practical experience. / 5 years of experience with software development in C/C++, Python, SQL languages, and with data structures/algorithms. / 3 years of experience testing, maintaining, or launching software products, and 1 year of experience with software design and architecture. / 3 years of experience with performance, systems data analysis, visualization tools, or debugging."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Network Test Engineer, NetInfra",Google,"Sunnyvale, CA, USA","Bachelor’s degree in Computer Science, Electrical Engineering, a related field, or equivalent practical experience. / 2 years of experience with network equipment and network protocols testing and debugging. / Experience with test methodologies, writing test plans and creating test cases. / Experience in test automation using Python or C++."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Staff Software Engineer, Performance, Segment Optimized Computing",Google,"Sunnyvale, CA, USA","Bachelor's degree or equivalent practical experience. / 8 years of experience in software development, and with data structures/algorithms. / 5 years of experience with design and architecture; and testing/launching software products."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Software Engineer, Computational Videography and ML, Pixel Camera",Google,"New Taipei, Banqiao District, New Taipei City, Taiwan","Bachelor’s degree or equivalent practical experience. / 2 years of experience with software development in one or more programming languages, and with data structures or algorithms. / 2 years of experience with machine learning algorithms and tools, artificial intelligence, deep learning and camera related domains, (e.g., computational photography)."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Machine Learning Engineer, Large Language Models, Personal AI",Google,"Mountain View, CA, USA","Bachelor's degree or equivalent practical experience. / 8 years of experience in software development, with data structures or algorithms. / 8 years of experience in coding with one or more programming languages (e.g., c++ or python). / 5 years of experience in testing, and launching software products, and 3 years of experience with software design and architecture. / Experience in the domain area of generative AI, large language models, or machine learning. / Experience in the domain area of Generative AI, large language models, or machine learning."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Software Engineer, ISP IQ, Pixel Camera",Google,"New Taipei, Banqiao District, New Taipei City, Taiwan","Bachelor’s degree or equivalent practical experience. / 2 years of experience with software development in one or more programming languages (C++,Python)."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Software Engineer II, Camera 3A Performance",Google,"New Taipei, Banqiao District, New Taipei City, Taiwan","Bachelor’s degree or equivalent practical experience. / 1 year of experience with software development in C++ and Python, or more programming languages."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Hardware Engineering Intern, 2025",Google,"New Taipei, Banqiao District, New Taipei City, Taiwan / ; Taipei, Taiwan","Currently pursuing a Bachelor’s degree in Electrical Engineering, Computer Engineering, Computer Science or a related field. / Experience in one or more of the areas: Computer Architecture, Circuit Design/Simulation, Design Verification, Digital Design, Embedded Systems, Hardware/Software, Signal and Power Integrity, EMC, Statistics, System Modeling, Networking/Security, Test/Measurement or Verilog."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Staff Hardware Systems Design Engineer, Google Cloud",Intern & Apprentice,"Sunnyvale, CA, USA","Master's degree in Electrical Engineering, Computer Engineering, Physics, a related field, or equivalent practical experience. / 6 years of experience working in a hardware systems design, or 5 years of experience with an advanced degree. / 3 years of experience in technical leadership."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Hardware Design Engineer, PCB Design",Google,"Sunnyvale, CA, USA","Bachelor’s degree in Electrical Engineering, Computer Engineering, Physics, a related field, or equivalent practical experience. / 4 years of experience working in enterprise hardware systems design, or 3 years of experience with an advanced degree. / Experience in RTL development, simulation, and implementation for glue logic applications. / Experienced in electronics principles, circuit design, PCB design and layout. / Experience with FPGA/CPLD design flows using Lattice, Xilinx/AMD, or  Altera/Intel devices."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Hardware Design Engineer, Board and Systems, Google Cloud",Google,"Sunnyvale, CA, USA","Bachelor’s degree in Electrical Engineering, Computer Engineering, Physics, a related field, or equivalent practical experience. / 4 years of experience in enterprise hardware systems design, or 3 years of experience with an advanced degree. / Experience with hardware bring up, debug, system validation, and testing. / Experience with data center and enterprise hardware products."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Hardware Validation Engineer, Google Cloud",Google,"Sunnyvale, CA, USA","Bachelor’s degree in Electrical Engineering, Computer Engineering, Computer Science, Physics, or a specialized field (e.g., Optics, Sensors, Audio/DSP, etc.), or equivalent practical experience. / 2 years of experience working in a hardware engineering technical environment, or 1 year of experience with an advanced degree. / Experience with Linux, networking, network troubleshooting, failure diagnosis, data center server, debugging/troubleshooting."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Hardware Emulation Engineer, Google Cloud",Google,"Tel Aviv, Israel / ; Haifa, Israel","Bachelor's degree in Computer Science, Electrical Engineering, or equivalent practical experience. / Experience with emulation systems, maintenance, upgrades, and methodology enhancements. / Experience with associated Electronic Design Automation (EDA) tools, and the addition of automation and flow enhancements. / Experience in using command debug tools (e.g., Verdi, SimVision/Indago, GDB) and programming in C, C++, Perl, TCL, or Python."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Product Engineer, Global Manufacturing Engineering, Google Cloud",Google,"New Taipei, Banqiao District, New Taipei City, Taiwan",Bachelor's degree in Electrical/Electronics Engineering or equivalent practical experience. / 5 years of experience in manufacturing or product development.
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Staff Software Engineer, ML Hardware, YouTube Discovery",Google,"San Bruno, CA, USA","Bachelor's degree or equivalent practical experience. / 8 years of experience in software development, and with data structures/algorithms. / 5 years of experience with ML infrastructure (e.g., model deployment, model evaluation, optimization, debugging). / 3 years of experience in developing large-scale ML models (recommender systems, LLMs, computer vision, etc) utilizing ML hardware accelerators. / 2 years of experience in a technical leadership role. / Experience with post-training quantization, quantized aware training, or quantized training for ML models."
https://www.google.com/about/careers/applications/jobs/results/?company=Google&company=YouTube&jlo=en_US&q=Hardware%20Engineer&hl=en_US,"Software Engineer, Computational Photography, Pixel Camera",Google,"New Taipei, Banqiao District, New Taipei City, Taiwan","Bachelor’s degree or equivalent practical experience. / 2 years of experience with software development in one or more programming languages, and with data structures or algorithms. / 2 years of experience with machine learning algorithms and tools, artificial intelligence, deep learning and camera related domains, (e.g., computational photography)."
